@relation cleaned-data

@attribute Platform {SENTINEL-1B,SENTINEL-1A}
@attribute Sensor {'SENTINEL-1 C-SAR'}
@attribute 'Beam Mode' {WV,IW,S3,S2,S1,EW}
@attribute 'Absolute Orbit' numeric
@attribute 'Relative Orbit' numeric
@attribute 'Path Number' numeric
@attribute 'Frame Number' numeric
@attribute 'Processing Level' {SLC,OCN,GRD_MD,RAW}
@attribute 'Center Lat' numeric
@attribute 'Center Lon' numeric
@attribute 'Near Start Lat' numeric
@attribute 'Near Start Lon' numeric
@attribute 'Far Start Lat' numeric
@attribute 'Far Start Lon' numeric
@attribute 'Near End Lat' numeric
@attribute 'Near End Lon' numeric
@attribute 'Far End Lat' numeric
@attribute 'Far End Lon' numeric
@attribute 'Faraday Rotation' numeric
@attribute 'Ascending or Descending?' {Ascending,Descending}
@attribute 'Size (MB)' numeric
@attribute 'Off Nadir Angle' numeric

@data
SENTINEL-1B,'SENTINEL-1 C-SAR',WV,8561,135,135,1036,SLC,-43.8377,-77.9906,-43.953205,-78.084511,-43.898071,-77.827087,-43.777092,-78.153786,-43.722118,-77.897232,?,Ascending,4430,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,129,SLC,40.7107,-83.9953,39.755184,-85.298386,40.154903,-82.334412,41.247505,-85.681442,41.646252,-82.650337,?,Ascending,4070,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,124,SLC,39.2132,-83.6492,38.252693,-84.923615,38.65358,-82.023491,39.755096,-85.298363,40.154675,-82.335556,?,Ascending,4390,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,119,SLC,37.7106,-83.3074,36.749771,-84.553627,37.151989,-81.712929,38.252602,-84.923592,38.653351,-82.024612,?,Ascending,4490,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,114,SLC,36.2081,-82.9664,35.247101,-84.184898,35.650749,-81.399429,36.74968,-84.553604,37.151772,-81.713913,?,Ascending,4490,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,109,SLC,34.7038,-82.6377,33.740364,-83.843224,34.146183,-81.10894,35.247013,-84.184875,35.650528,-81.400398,?,Ascending,4600,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,104,SLC,33.1981,-82.3187,32.234482,-83.497902,32.642422,-80.811234,33.740276,-83.843201,34.145977,-81.109779,?,Ascending,4360,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,99,SLC,31.6926,-81.9982,30.728018,-83.156609,31.138216,-80.514359,32.23439,-83.497879,32.6422,-80.812164,?,Ascending,4230,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,94,SLC,30.1866,-81.6804,29.221037,-82.819847,29.633659,-80.218788,30.727928,-83.156593,31.138006,-80.515167,?,Ascending,3980,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,89,SLC,28.6802,-81.3652,27.713427,-82.486885,28.128632,-79.924011,29.220947,-82.819824,29.633465,-80.219482,?,Ascending,4060,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,84,SLC,27.1732,-81.0527,26.205204,-82.15844,26.623161,-79.630898,27.713335,-82.486862,28.12845,-79.924599,?,Ascending,4310,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,79,SLC,25.6658,-80.7427,24.696396,-81.833046,25.117214,-79.338356,26.205114,-82.158417,26.622963,-79.631569,?,Ascending,3930,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19545,48,48,74,SLC,24.1578,-80.4345,23.187168,-81.510666,23.610983,-79.046257,24.696306,-81.833031,25.117029,-79.338921,?,Ascending,3660,0
