Granule Name,Platform,Sensor,Beam Mode,Absolute Orbit,Relative Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler,Stack ID
S1A_IW_OCN__2SDV_20171109T171859_20171109T171921_019191_0207C5_6A36,SENTINEL-1A,SENTINEL-1 C-SAR,IW,19191,44,44,393,2017-11-09T17:19:21.769075,2017-11-09T20:47:35Z,OCN,2017-11-09T17:18:59.943932,2017-11-09T17:19:21.769075,60.003,-164.3107,60.421524,-161.792343,60.844479,-166.362076,59.126728,-162.370438,59.543213,-166.767044,NaN,Descending,4.57 MB,0,,,0,
S1A_IW_OCN__2SDV_20171109T171834_20171109T171859_019191_0207C5_256B,SENTINEL-1A,SENTINEL-1 C-SAR,IW,19191,44,44,388,2017-11-09T17:18:59.942426,2017-11-09T21:23:54Z,OCN,2017-11-09T17:18:34.944487,2017-11-09T17:18:59.942421,61.396,-163.7681,61.902523,-161.087341,62.33429,-165.877106,60.421612,-161.792297,60.844677,-166.363495,NaN,Descending,5.11 MB,0,,,0,
S1A_IW_OCN__2SDV_20171109T171809_20171109T171834_019191_0207C5_8F42,SENTINEL-1A,SENTINEL-1 C-SAR,IW,19191,44,44,383,2017-11-09T17:18:34.942988,2017-11-09T20:52:01Z,OCN,2017-11-09T17:18:09.943552,2017-11-09T17:18:34.942988,62.8817,-163.149,63.38052,-160.324249,63.822914,-165.35939,61.902611,-161.087296,62.334518,-165.878983,NaN,Descending,5.36 MB,0,,,0,
S1B_IW_OCN__2SDV_20171109T030305_20171109T030330_008199_00E7DA_8FC5,SENTINEL-1B,SENTINEL-1 C-SAR,IW,8199,123,123,202,2017-11-09T03:03:30.725416,2017-11-09T07:15:36Z,OCN,2017-11-09T03:03:05.727325,2017-11-09T03:03:30.725373,62.5324,-141.8227,61.556778,-143.851456,61.984348,-139.11171,63.032402,-144.626785,63.470955,-139.650253,NaN,Ascending,5.28 MB,0,,,0,
S1B_IW_OCN__2SDV_20171109T030240_20171109T030305_008199_00E7DA_FBED,SENTINEL-1B,SENTINEL-1 C-SAR,IW,8199,123,123,197,2017-11-09T03:03:05.725853,2017-11-09T07:12:47Z,OCN,2017-11-09T03:02:40.727791,2017-11-09T03:03:05.725853,61.0462,-141.2156,60.072048,-143.1875,60.492237,-138.662933,61.556686,-143.85144,61.98418,-139.112823,NaN,Ascending,5.31 MB,0,,,0,
S1A_IW_OCN__2SDV_20171107T173436_20171107T173501_019162_0206DF_8F4D,SENTINEL-1A,SENTINEL-1 C-SAR,IW,19162,15,15,382,2017-11-07T17:35:01.998975,2017-11-07T21:13:04Z,OCN,2017-11-07T17:34:36.999952,2017-11-07T17:35:01.998972,62.9066,-167.2469,63.405548,-164.422791,63.847694,-169.454895,61.927761,-165.187454,62.359375,-169.976059,NaN,Descending,6.31 MB,0,,,0,
S1A_IW_OCN__2SDV_20171107T173411_20171107T173436_019162_0206DF_DDCB,SENTINEL-1A,SENTINEL-1 C-SAR,IW,19162,15,15,377,2017-11-07T17:34:36.998452,2017-11-07T21:18:25Z,OCN,2017-11-07T17:34:11.999431,2017-11-07T17:34:36.998450,64.3903,-166.5803,64.880753,-163.597961,65.335365,-168.904617,63.405636,-164.422745,63.847908,-169.45668,NaN,Descending,6.06 MB,0,,,0,
S1A_IW_OCN__2SDV_20171107T173347_20171107T173411_019162_0206DF_AA95,SENTINEL-1A,SENTINEL-1 C-SAR,IW,19162,15,15,372,2017-11-07T17:34:11.997931,2017-11-07T21:08:30Z,OCN,2017-11-07T17:33:47.000412,2017-11-07T17:34:11.997931,65.8716,-165.8551,66.350914,-162.683945,66.820847,-168.300018,64.880844,-163.5979,65.335648,-168.907547,NaN,Descending,5.86 MB,0,,,0,
S1A_IW_OCN__2SDV_20171107T155639_20171107T155707_019161_0206D6_427E,SENTINEL-1A,SENTINEL-1 C-SAR,IW,19161,14,14,392,2017-11-07T15:57:07.013389,2017-11-07T21:40:52Z,OCN,2017-11-07T15:56:39.349380,2017-11-07T15:57:07.013387,60.043,-143.7438,60.638714,-141.177689,61.059498,-145.75943,58.99168,-141.857681,59.4062,-146.220062,NaN,Descending,5.72 MB,0,,,0,
S1A_IW_OCN__2SDV_20171107T155614_20171107T155639_019161_0206D6_7C64,SENTINEL-1A,SENTINEL-1 C-SAR,IW,19161,14,14,387,2017-11-07T15:56:39.347883,2017-11-07T21:30:22Z,OCN,2017-11-07T15:56:14.348494,2017-11-07T15:56:39.347881,61.6112,-143.1474,62.117245,-140.446518,62.547764,-145.251373,60.638802,-141.177673,61.059723,-145.761246,NaN,Descending,5.37 MB,0,,,0,
